"编号","Ext1","数量(占比)"
1,"chat","520 (24.60%)"
2,"platform_qrcode_view","307 (14.52%)"
3,"chatkit","167 (7.90%)"
4,"未知","146 (6.91%)"
5,"call","122 (5.77%)"
6,"mobile_qrcode_view","84 (3.97%)"
7,"room","69 (3.26%)"
8,"home | ios","49 (2.32%)"
9,"home | chat","40 (1.89%)"
10,"quick_access_click","36 (1.70%)"
11,"detail | call","35 (1.66%)"
12,"detail | chat","34 (1.61%)"
13,"detail | chat | medical","31 (1.47%)"
14,"home | android","26 (1.23%)"
15,"detail | chat | general","23 (1.09%)"
16,"medical_record","22 (1.04%)"
17,"home | chat | Web | https://cloud.tencent.com/document/product/269/123108","20 (0.95%)"
18,"prescription","19 (0.90%)"
19,"home | miniprogram","18 (0.85%)"
20,"detail | room","18 (0.85%)"
21,"callkit","12 (0.57%)"
22,"home | chat | medical","10 (0.47%)"
23,"roomkit","10 (0.47%)"
24,"capability_demo_click","9 (0.43%)"
25,"quick_reply","8 (0.38%)"
26,"quick_rate","8 (0.38%)"
27,"detail | chat | ios","5 (0.24%)"
28,"doc_click","5 (0.24%)"
29,"detail | chat | experience | call","3 (0.14%)"
30,"capability_platform_click","3 (0.14%)"
31,"image","3 (0.14%)"
32,"sideBar | chat | call | web | https://cloud.tencent.com/document/product/647/78731","2 (0.09%)"
33,"home | room","2 (0.09%)"
34,"detail | chat | general | 299942","1 (0.05%)"
35,"detail | call | 356129","1 (0.05%)"
36,"detail | room | 231825","1 (0.05%)"
37,"detail | chat | general | 49201","1 (0.05%)"
38,"detail | chat | general | 670","1 (0.05%)"
39,"detail | call | 1630","1 (0.05%)"
40,"detail | room | 11597","1 (0.05%)"
41,"detail | chat | general | 23135","1 (0.05%)"
42,"detail | chat | general | 10019778","1 (0.05%)"
43,"home | chat | Android | https://cloud.tencent.com/document/product/269/37059","1 (0.05%)"
44,"detail | chat | general | 44284","1 (0.05%)"
45,"detail | chat | general | 305953","1 (0.05%)"
46,"detail | chat | general | 116771","1 (0.05%)"
47,"detail | chat | general | 1046","1 (0.05%)"
48,"detail | chat | general | 171986","1 (0.05%)"
49,"detail | room | 892","1 (0.05%)"
50,"detail | chat | general | 151128","1 (0.05%)"
51,"detail | chat | general | 31920","1 (0.05%)"
52,"detail | room | 59","1 (0.05%)"
53,"detail | call | 87447","1 (0.05%)"
54,"detail | call | 1838","1 (0.05%)"
55,"detail | chat | general | 1524829","1 (0.05%)"
56,"detail | room | 8941","1 (0.05%)"
57,"detail | chat | general | 75569","1 (0.05%)"
58,"detail | chat | general | 264933","1 (0.05%)"
59,"detail | call | 1046","1 (0.05%)"
60,"detail | call | 1201","1 (0.05%)"
61,"detail | call | 14355","1 (0.05%)"
62,"detail | chat | general | 59772785","1 (0.05%)"
63,"detail | chat | medical | showroom","1 (0.05%)"
64,"detail | chat | general | 246650","1 (0.05%)"
65,"detail | call | 444555","1 (0.05%)"
66,"detail | chat | general | 574","1 (0.05%)"
67,"detail | chat | doc | https://cloud.tencent.com/product/im","1 (0.05%)"
68,"detail | chat | general | 126221","1 (0.05%)"
69,"detail | chat | general | 1006935","1 (0.05%)"
70,"detail | call | 33745","1 (0.05%)"
71,"detail | chat | general | 3830","1 (0.05%)"
72,"detail | chat | general | 10983","1 (0.05%)"
73,"detail | call | 2458743","1 (0.05%)"
74,"detail | call | 125455","1 (0.05%)"
75,"detail | chat | general | 2205","1 (0.05%)"
76,"detail | call | 4672","1 (0.05%)"
77,"detail | chat | general | 2209","1 (0.05%)"
78,"detail | chat | general | 19644933","1 (0.05%)"
79,"detail | chat | general | 28874","1 (0.05%)"
80,"home | call","1 (0.05%)"
81,"detail | chat | general | 5863","1 (0.05%)"
82,"detail | chat | general | 144458","1 (0.05%)"
83,"sideBar | chat | room | web | https://cloud.tencent.com/document/product/647/81962","1 (0.05%)"
